Der Antrag(Anträge),application
der/die Antragsteller/in,applicant
Die Arbeitsagentur,employment agency
Die Arbeitserlaubnis,work permit
Das Arbeitslosengeld,unemployment benefit
Der Arbeitsplatz(Arbeitsplätze),workplace
Die Arbeitsvermittlung,employment service
Der Aufenthalt,stay
Die Aufenthaltserlaubnis,residence permit
aufrufen,to call up
Der Ausbildungsplatz,training place
Das Ausländeramt,immigration office
Die Ausländerbehörde,immigration authorities
Der Ausweis,ID (identification document)
beantragen,to apply for
bearbeiten,to edit
Die Behörde,authorities
Die Berufsberatung,career guidance
Das Berufsinformationszentrum,career information centre
der/die Cousin/e,cousin
dabei,thereby
Das Dokument,document
der/die Ehepartner/in,spouse
Die Eheschließung(Eheschließungen),marriage
Das Einwohnermeldeamt,registration office
der/die Enkel/in,grandson
Das Enkelkind(Enkelkinder),grandchild
entschuldigen,to excuse
Das Familienbuch,family register
Die Familienkasse,family class
Das Familienmitglied(Familienmitglieder),family member
fehlen,to miss
Das Finanzamt,tax office
Die Geburt(Geburten),birth
Das Geburtsdatum(Geburtsdaten),date of birth
Das Geburtsland,country of birth
Der Geburtsname,name at birth
Der Geburtsort,place of birth
Die Geburtsurkunde,birth certificate
genehmigen,to approve
Das Geschlecht(Geschlechter),gender
herein,within
hingehen,to go there
Die Integration,integration
Der Integrationskurs,integration course
Das Kindergeld,child allowance
der/die Lebenspartner/in,life partner
Der Lichtbildausweis,photo ID
losfahren,to drive away
männlich,male
Die Nichte(Nichten),niece
notieren,to note
Der Personalausweis,personal ID
Der Reisepass(Reisepässe),passport
Die Schwiegereltern (Pl.),parents-in-law
Die Staatsangehörigkeit,nationality
Das Team,team
Der Teil,part
Die Unterlagen (Pl.),documents
unterschreiben,to sign
Die Urkunde(Urkunden),certificate
vollständig,complete
Die Webseite(Webseiten),website
weiblich,female
wiederholen,to repeat
Die Zulassungsstelle,admission office
zuständig,responsible
Das Abitur (Abi),A-level
ablegen,to take (an exam)
abschließen,to complete
Der Abschluss(Abschlüsse),degree
anbieten,to offer
der/die Anfänger/in,beginner
Die Architektur,architecture
Das Ausland,abroad
Der Autounfall(Autounfälle),car accident
beenden,to end
Die Beratung,counselling
Der Bereich,area
Die Berufsausbildung,professional training
Die Berufsschule,vocational college
besonders,especially
Der Bildungsweg,course of education
Die Büroorganisation,office administration
Das Chaos,chaos
Die Decke,ceiling
Das Ende,end
Die Energie,energy
enthalten,to contain
entscheiden,to decide
erforderlich,required
Die Fitness,fitness
fliehen,to flee
fortgeschritten,advanced
der/die Frisör/in,hairdresser
genial,great
hoffentlich,hopefully
jobben,to do casual/part-time work
Die Kategorie(Kategorien),category
kaufmännisch,business
Die Kenntnisse (Pl.),knowledge
Die Kommunikation,communication
kompakt,compact
kürzen,to shorten
Die Kursgebühr,course fee
Das Kurzprogramm,short program
Der Lebensweg(Lebenswege),journey through life
Die Lehre,apprenticeship
Das Lehrmaterial,teaching material
Das Material,material
miserabel,miserable
mittlere,middle
Das Prost,Cheers!
Die Prüfung,exam
Das Prüfungstraining,exam training
Der Realschulabschluss,secondary school certificate
reisen,to travel
rhythmisch,rhythmical
schaffen,to succeed
Die Schulzeit,school days
seit,since
Das Semester(Semester),term
separat,separate
die Situation(Situationen),situation
städtisch,urban
Die Terminplanung,scheduling
Der Test(Tests),test
Das Thema(Themen),topic
Die Theorie,theory
trainieren,to train
Das Training,training
Der Trick(Tricks),trick
Die Überraschung(Überraschungen),surprise
Die Überschrift(Überschriften),heading
umschreiben,to re-write
verlieben,to fall in love
verlieren,to lose
Vorbereitung,preparation
Die Vorkenntnisse (Pl.),prior knowledge
Das Vorstellungsgespräch,interview
Die Weiterbildung(Weiterbildungen),further training
Das Yoga,yoga
Das Zeitmanagement,time management
Das Zertifikat,certificate
Das Zeugnis,certificate
zufrieden,satisfied
der/die Ansprechpartner/in,contact person
Der Aushilfsjob,temporary job
aussehen,to look
der/die Auszubildende (Azubi),trainee
der/die Bäckereifachverkäufer/in,baker's assistant
bedanken,to thank
bedienen,to serve
beeilen,to hurry
begründen,to justify
Das Beratungsgespräch,consultation
Das Berufsfeld(Berufsfelder),field of work
der/die Bewerber/in,applicant
bieten,to offer
eindecken,to inundate
genug,enough
Grundschule,primary school
handwerklich,manual
Das Holz,wood
der/die Informatiker/in,IT technician
Die Kneipe,pub
kostenfrei,free of charge
Die Küchenhilfe,kitchen assistant
Die Laufbahn,career path
Der Lebenslauf(Lebensläufe),CV
lückenlos,seamless
melden,to notify
Die Mittelschule,secondary school
der/die Modedesigner/in,fashion designer
Das Muster,pattern
nötig,necessary
ob,whether
persönlich,personal
professionell,professional
Die Reinigungsarbeiten (Pl.),cleaning jobs
Die Rente(Renten),retirement
der/die Restaurantfachmann/-frau,restaurant specialist
spezial,special
statt,instead
Die Stelle,position
das Stellenangebot,job offer
Die Stellensuche,job search
Die Struktur,structure
sympathisch,kind
Die Teilzeit,part-time
Die Teilzeitstelle,part-time position
tippen,to type
Der Tippfehler,typing error
der/die Tischler/in,carpenter
üben,to practice
Die Übersiedlung,relocation
unprofessionell,unprofessional
unsympathisch,unkind
unzufrieden,unsatisfied
verrückt,crazy
Das Volleyball,volleyball
Die Vollzeit,full-time
Die Vollzeitstelle,full-time position
Die Voraussetzung(Voraussetzungen),requirement
Die Vorlage(Vorlagen),template
zuverlässig,reliable
